date,open,high,low,close,volume,hold,settle
2023-01-03,3861.0,3909.6,3834.4,3894.2,67115,95112,0.0
2023-01-04,3897.4,3911.0,3876.6,3898.0,52123,82741,0.0
2023-01-05,3923.8,3982.6,3918.0,3974.4,65791,87168,0.0
2023-01-06,3975.2,4008.0,3972.0,3990.8,55649,81505,0.0
2023-01-09,4008.0,4032.0,3996.8,4011.6,56555,81834,0.0
2023-01-10,4014.0,4037.8,4003.4,4018.0,48658,74766,0.0
2023-01-11,4022.0,4048.2,4012.4,4017.2,50080,76040,0.0
2023-01-12,4029.6,4038.6,4010.8,4024.6,45904,68842,0.0
2023-01-13,4037.0,4091.8,4033.8,4090.8,56670,74629,0.0
2023-01-16,4090.6,4196.0,4089.8,4149.6,76171,68957,0.0
2023-01-17,4151.0,4160.8,4131.4,4147.0,45135,55847,0.0
2023-01-18,4153.0,4161.4,4130.0,4133.4,41644,42551,0.0
2023-01-19,4121.4,4162.2,4105.0,4158.0,36370,25305,0.0
2023-01-20,4169.0,4187.8,4158.8,4180.4,17201,11746,0.0
2023-01-30,4280.0,4282.8,4204.4,4208.0,55785,67929,0.0
2023-01-31,4215.0,4229.0,4166.0,4169.6,51977,68025,0.0
2023-02-01,4180.0,4200.4,4144.2,4198.0,61669,71157,0.0
2023-02-02,4210.0,4211.6,4171.0,4185.6,57283,67046,0.0
2023-02-03,4165.4,4166.0,4106.2,4143.8,64614,69459,0.0
2023-02-06,4110.0,4111.0,4062.6,4086.6,59182,64953,0.0
2023-02-07,4100.0,4107.4,4074.2,4096.2,50081,60914,0.0
2023-02-08,4103.0,4117.0,4071.0,4076.4,45696,59107,0.0
2023-02-09,4068.0,4140.0,4068.0,4133.8,58534,58997,0.0
2023-02-10,4125.6,4126.8,4089.6,4107.6,46236,53846,0.0
2023-02-13,4093.8,4145.4,4085.8,4139.0,51082,52835,0.0
2023-02-14,4147.0,4152.0,4122.6,4150.0,40609,44073,0.0
2023-02-15,4152.6,4160.4,4112.2,4120.4,39710,36576,0.0
2023-02-16,4130.0,4175.2,4067.6,4090.0,39699,21197,0.0
2023-02-17,4099.0,4114.0,4032.4,4034.6,80888,128961,0.0
2023-02-20,4049.0,4148.6,4036.6,4146.8,87814,127401,0.0
2023-02-21,4140.0,4162.4,4124.8,4149.4,66790,122787,0.0
2023-02-22,4131.0,4146.2,4102.4,4109.8,65244,122428,0.0
2023-02-23,4116.0,4136.0,4089.0,4108.2,69947,120672,0.0
2023-02-24,4103.0,4107.6,4046.0,4067.6,71007,121171,0.0
2023-02-27,4050.0,4071.8,4035.4,4051.4,61240,117327,0.0
2023-02-28,4068.0,4086.2,4026.0,4079.2,69154,121396,0.0
2023-03-01,4073.0,4148.0,4068.4,4133.2,85366,123343,0.0
2023-03-02,4124.0,4145.0,4121.0,4126.6,51643,112305,0.0
2023-03-03,4144.2,4147.8,4105.2,4134.4,58882,114510,0.0
2023-03-06,4132.2,4135.0,4086.4,4103.0,67917,110599,0.0
2023-03-07,4097.4,4125.2,4044.6,4047.2,82731,110995,0.0
2023-03-08,4030.0,4042.8,4015.0,4034.8,57287,100966,0.0
2023-03-09,4037.0,4043.6,3998.6,4023.0,64588,100437,0.0
2023-03-10,3996.8,4011.0,3962.2,3965.6,74361,92959,0.0
2023-03-13,3973.6,4014.6,3973.0,4010.0,70723,85391,0.0
2023-03-14,3998.0,4004.6,3950.6,3988.8,74234,74478,0.0
2023-03-15,4017.2,4024.2,3983.2,3986.4,59629,52461,0.0
2023-03-16,3956.0,3987.6,3935.6,3941.0,48932,32380,0.0
2023-03-17,3963.4,4008.8,3958.6,3974.6,26726,11921,0.0
2023-03-20,3967.0,3989.0,3938.6,3945.6,60635,72301,0.0
2023-03-21,3958.0,3992.8,3954.4,3988.6,60019,71545,0.0
2023-03-22,4000.0,4022.4,3989.8,4003.2,57032,67935,0.0
2023-03-23,3993.0,4045.6,3991.6,4044.6,59961,70198,0.0
2023-03-24,4034.6,4047.8,4025.6,4040.6,49595,66368,0.0
2023-03-27,4033.0,4035.0,3997.8,4019.0,56951,71554,0.0
2023-03-28,4028.8,4032.4,4004.4,4009.4,49393,67493,0.0
2023-03-29,4030.2,4032.8,4003.0,4009.0,53718,69564,0.0
2023-03-30,4015.0,4054.2,3993.4,4052.8,73120,74979,0.0
2023-03-31,4060.0,4077.2,4052.2,4063.8,54614,67830,0.0
2023-04-03,4071.8,4104.4,4063.8,4091.2,58173,70642,0.0
2023-04-04,4092.2,4114.0,4082.0,4111.8,51624,67484,0.0
2023-04-06,4095.8,4105.8,4085.6,4098.0,42778,64704,0.0
2023-04-07,4103.8,4141.0,4097.4,4128.2,45932,65729,0.0
2023-04-10,4138.0,4141.0,4109.2,4112.4,47281,65846,0.0
2023-04-11,4116.6,4124.6,4088.8,4102.2,48196,64888,0.0
2023-04-12,4107.8,4109.4,4091.0,4097.2,40891,60086,0.0
2023-04-13,4083.2,4096.0,4065.4,4073.8,52447,66065,0.0
2023-04-14,4086.0,4105.0,4081.2,4095.0,48160,58280,0.0
2023-04-17,4093.4,4155.0,4090.6,4153.6,52990,57336,0.0
2023-04-18,4142.6,4173.0,4142.6,4161.4,43177,46611,0.0
2023-04-19,4160.0,4162.2,4123.4,4125.2,41605,39704,0.0
2023-04-20,4125.6,4130.2,4098.0,4105.2,34677,22033,0.0
2023-04-21,4112.0,4113.0,4053.4,4055.8,17916,9547,0.0
2023-04-24,4048.6,4048.6,3972.0,3991.0,59721,65856,0.0
2023-04-25,3993.0,3998.4,3935.4,3970.2,66121,71248,0.0
2023-04-26,3962.2,3981.0,3949.0,3964.6,53023,67700,0.0
2023-04-27,3957.4,4012.0,3951.0,3998.0,50319,65649,0.0
2023-04-28,3999.0,4038.4,3999.0,4031.6,45577,59817,0.0
2023-05-04,4017.4,4036.2,4005.4,4033.6,43551,58945,0.0
2023-05-05,4037.6,4047.0,3996.0,4017.8,48839,58339,0.0
2023-05-08,4030.0,4070.0,4020.4,4058.0,50538,58658,0.0
2023-05-09,4061.6,4092.0,4026.0,4026.8,62479,61671,0.0
2023-05-10,4029.0,4029.0,3990.4,3997.8,56398,58819,0.0
2023-05-11,4008.0,4018.0,3987.2,3990.2,38175,54806,0.0
2023-05-12,3990.0,4004.8,3935.4,3937.4,48740,58074,0.0
2023-05-15,3937.0,4004.6,3930.2,4001.0,55131,53173,0.0
2023-05-16,3999.6,4008.8,3970.2,3986.2,40893,43719,0.0
2023-05-17,3980.6,3991.0,3950.2,3960.2,37037,36577,0.0
2023-05-18,3966.0,3986.0,3934.6,3953.8,35267,20957,0.0
2023-05-19,3932.8,3962.6,3915.0,3937.8,65716,129907,0.0
2023-05-22,3937.8,3982.4,3925.0,3957.6,72744,128856,0.0
2023-05-23,3957.0,3968.0,3894.2,3896.2,66911,124895,0.0
2023-05-24,3887.2,3893.8,3843.6,3847.4,77188,131094,0.0
2023-05-25,3840.0,3849.6,3802.2,3833.0,75231,125263,0.0
2023-05-26,3830.0,3852.0,3800.2,3841.0,68105,124152,0.0
2023-05-29,3860.0,3863.0,3807.0,3825.0,59031,119855,0.0
2023-05-30,3822.0,3837.4,3775.6,3825.6,76974,122807,0.0
2023-05-31,3811.2,3816.6,3770.8,3790.6,65127,113644,0.0
